Area,Dimensao,Estrategia,Frequencia,Periodo,Peso,OrdemArea,OrdemDimensao,OrdemEstrategia
Igreja,Básico,Igreja Básico 3: Atividade simples na igreja,Diário,21 dias,1,2,1,3
Igreja,Básico,Igreja Básico 4: Atividade simples na igreja,Diário,21 dias,1,2,1,4
Igreja,Básico,Igreja Básico 5: Atividade simples na igreja,Diário,21 dias,1,2,1,5
Igreja,Básico,Igreja Básico 6: Atividade simples na igreja,Diário,21 dias,1,2,1,6
Igreja,Básico,Igreja Básico 7: Atividade simples na igreja,Diário,21 dias,1,2,1,7
Igreja,Básico,Igreja Básico 8: Atividade simples na igreja,Diário,21 dias,1,2,1,8
Igreja,Básico,Igreja Básico 9: Atividade simples na igreja,Diário,21 dias,1,2,1,9
Igreja,Básico,Igreja Básico 10: Atividade simples na igreja,Diário,21 dias,1,2,1,10
Igreja,Básico,Igreja Básico 11: Atividade simples na igreja,Diário,21 dias,1,2,1,11
Igreja,Básico,Igreja Básico 12: Atividade simples na igreja,Diário,21 dias,1,2,1,12
Igreja,Básico,Igreja Básico 13: Atividade simples na igreja,Diário,21 dias,1,2,1,13
Igreja,Básico,Igreja Básico 14: Atividade simples na igreja,Diário,21 dias,1,2,1,14
Igreja,Básico,Igreja Básico 15: Atividade simples na igreja,Diário,21 dias,1,2,1,15
Igreja,Básico,Igreja Básico 16: Atividade simples na igreja,Diário,21 dias,1,2,1,16
Igreja,Básico,Igreja Básico 17: Atividade simples na igreja,Diário,21 dias,1,2,1,17
Igreja,Básico,Igreja Básico 18: Atividade simples na igreja,Diário,21 dias,1,2,1,18
Igreja,Básico,Igreja Básico 19: Atividade simples na igreja,Diário,21 dias,1,2,1,19
Igreja,Básico,Igreja Básico 20: Atividade simples na igreja,Diário,21 dias,1,2,1,20
Igreja,Desafio,Igreja Desafio 1: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,1
Igreja,Desafio,Igreja Desafio 2: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,2
Igreja,Desafio,Igreja Desafio 3: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,3
Igreja,Desafio,Igreja Desafio 4: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,4
Igreja,Desafio,Igreja Desafio 5: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,5
Igreja,Desafio,Igreja Desafio 6: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,6
Igreja,Desafio,Igreja Desafio 7: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,7
Igreja,Desafio,Igreja Desafio 8: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,8
Igreja,Desafio,Igreja Desafio 9: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,9
Igreja,Desafio,Igreja Desafio 10: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,10
Igreja,Desafio,Igreja Desafio 11: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,11
Igreja,Desafio,Igreja Desafio 12: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,12
Igreja,Desafio,Igreja Desafio 13: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,13
Igreja,Desafio,Igreja Desafio 14: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,14
Igreja,Desafio,Igreja Desafio 15: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,15
Igreja,Desafio,Igreja Desafio 16: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,16
Igreja,Desafio,Igreja Desafio 17: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,17
Igreja,Desafio,Igreja Desafio 18: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,18
Igreja,Desafio,Igreja Desafio 19: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,19
Igreja,Desafio,Igreja Desafio 20: Desafio de serviço na igreja,Semanal,2 semanas,2,2,2,20
Igreja,Avançado,Igreja Avançado 1: Projeto avançado na igreja,Programa,21 dias,3,2,3,1
Igreja,Avançado,Igreja Avançado 2: Projeto avançado na igreja,Programa,21 dias,3,2,3,2
Igreja,Avançado,Igreja Avançado 3: Projeto avançado na igreja,Programa,21 dias,3,2,3,3
Igreja,Avançado,Igreja Avançado 4: Projeto avançado na igreja,Programa,21 dias,3,2,3,4
Igreja,Avançado,Igreja Avançado 5: Projeto avançado na igreja,Programa,21 dias,3,2,3,5
Igreja,Avançado,Igreja Avançado 6: Projeto avançado na igreja,Programa,21 dias,3,2,3,6
Igreja,Avançado,Igreja Avançado 7: Projeto avançado na igreja,Programa,21 dias,3,2,3,7
Igreja,Avançado,Igreja Avançado 8: Projeto avançado na igreja,Programa,21 dias,3,2,3,8
Igreja,Avançado,Igreja Avançado 9: Projeto avançado na igreja,Programa,21 dias,3,2,3,9
Igreja,Avançado,Igreja Avançado 10: Projeto avançado na igreja,Programa,21 dias,3,2,3,10
Igreja,Avançado,Igreja Avançado 11: Projeto avançado na igreja,Programa,21 dias,3,2,3,11
Igreja,Avançado,Igreja Avançado 12: Projeto avançado na igreja,Programa,21 dias,3,2,3,12
Igreja,Avançado,Igreja Avançado 13: Projeto avançado na igreja,Programa,21 dias,3,2,3,13
Igreja,Avançado,Igreja Avançado 14: Projeto avançado na igreja,Programa,21 dias,3,2,3,14
Igreja,Avançado,Igreja Avançado 15: Projeto avançado na igreja,Programa,21 dias,3,2,3,15
Igreja,Avançado,Igreja Avançado 16: Projeto avançado na igreja,Programa,21 dias,3,2,3,16
Igreja,Avançado,Igreja Avançado 17: Projeto avançado na igreja,Programa,21 dias,3,2,3,17
Igreja,Avançado,Igreja Avançado 18: Projeto avançado na igreja,Programa,21 dias,3,2,3,18
Igreja,Avançado,Igreja Avançado 19: Projeto avançado na igreja,Programa,21 dias,3,2,3,19
Igreja,Avançado,Igreja Avançado 20: Projeto avançado na igreja,Programa,21 dias,3,2,3,20
Escola,Básico,Escola Básico 1: Atividade básica na escola,Diário,21 dias,1,3,1,1
Escola,Básico,Escola Básico 2: Atividade básica na escola,Diário,21 dias,1,3,1,2
Escola,Básico,Escola Básico 3: Atividade básica na escola,Diário,21 dias,1,3,1,3
Escola,Básico,Escola Básico 4: Atividade básica na escola,Diário,21 dias,1,3,1,4
Escola,Básico,Escola Básico 5: Atividade básica na escola,Diário,21 dias,1,3,1,5
Escola,Básico,Escola Básico 6: Atividade básica na escola,Diário,21 dias,1,3,1,6
Escola,Básico,Escola Básico 7: Atividade básica na escola,Diário,21 dias,1,3,1,7
Escola,Básico,Escola Básico 8: Atividade básica na escola,Diário,21 dias,1,3,1,8
Escola,Básico,Escola Básico 9: Atividade básica na escola,Diário,21 dias,1,3,1,9
Escola,Básico,Escola Básico 10: Atividade básica na escola,Diário,21 dias,1,3,1,10
Escola,Básico,Escola Básico 11: Atividade básica na escola,Diário,21 dias,1,3,1,11
Escola,Básico,Escola Básico 12: Atividade básica na escola,Diário,21 dias,1,3,1,12
Escola,Básico,Escola Básico 13: Atividade básica na escola,Diário,21 dias,1,3,1,13
Escola,Básico,Escola Básico 14: Atividade básica na escola,Diário,21 dias,1,3,1,14
Escola,Básico,Escola Básico 15: Atividade básica na escola,Diário,21 dias,1,3,1,15
Escola,Básico,Escola Básico 16: Atividade básica na escola,Diário,21 dias,1,3,1,16
Escola,Básico,Escola Básico 17: Atividade básica na escola,Diário,21 dias,1,3,1,17
Escola,Básico,Escola Básico 18: Atividade básica na escola,Diário,21 dias,1,3,1,18
Escola,Básico,Escola Básico 19: Atividade básica na escola,Diário,21 dias,1,3,1,19
Escola,Básico,Escola Básico 20: Atividade básica na escola,Diário,21 dias,1,3,1,20
Escola,Desafio,Escola Desafio 1: Desafio acadêmico,Semanal,2 semanas,2,3,2,1
Escola,Desafio,Escola Desafio 2: Desafio acadêmico,Semanal,2 semanas,2,3,2,2
Escola,Desafio,Escola Desafio 3: Desafio acadêmico,Semanal,2 semanas,2,3,2,3
Escola,Desafio,Escola Desafio 4: Desafio acadêmico,Semanal,2 semanas,2,3,2,4
Escola,Desafio,Escola Desafio 5: Desafio acadêmico,Semanal,2 semanas,2,3,2,5
Escola,Desafio,Escola Desafio 6: Desafio acadêmico,Semanal,2 semanas,2,3,2,6
Escola,Desafio,Escola Desafio 7: Desafio acadêmico,Semanal,2 semanas,2,3,2,7
Escola,Desafio,Escola Desafio 8: Desafio acadêmico,Semanal,2 semanas,2,3,2,8
Escola,Desafio,Escola Desafio 9: Desafio acadêmico,Semanal,2 semanas,2,3,2,9
Escola,Desafio,Escola Desafio 10: Desafio acadêmico,Semanal,2 semanas,2,3,2,10
Escola,Desafio,Escola Desafio 11: Desafio acadêmico,Semanal,2 semanas,2,3,2,11
Escola,Desafio,Escola Desafio 12: Desafio acadêmico,Semanal,2 semanas,2,3,2,12
Escola,Desafio,Escola Desafio 13: Desafio acadêmico,Semanal,2 semanas,2,3,2,13
Escola,Desafio,Escola Desafio 14: Desafio acadêmico,Semanal,2 semanas,2,3,2,14
Escola,Desafio,Escola Desafio 15: Desafio acadêmico,Semanal,2 semanas,2,3,2,15
Escola,Desafio,Escola Desafio 16: Desafio acadêmico,Semanal,2 semanas,2,3,2,16
Escola,Desafio,Escola Desafio 17: Desafio acadêmico,Semanal,2 semanas,2,3,2,17
Escola,Desafio,Escola Desafio 18: Desafio acadêmico,Semanal,2 semanas,2,3,2,18
Escola,Desafio,Escola Desafio 19: Desafio acadêmico,Semanal,2 semanas,2,3,2,19
Escola,Desafio,Escola Desafio 20: Desafio acadêmico,Semanal,2 semanas,2,3,2,20
Escola,Avançado,Escola Avançado 1: Projeto avançado de estudos,Programa,21 dias,3,3,3,1
Escola,Avançado,Escola Avançado 2: Projeto avançado de estudos,Programa,21 dias,3,3,3,2
Escola,Avançado,Escola Avançado 3: Projeto avançado de estudos,Programa,21 dias,3,3,3,3
Escola,Avançado,Escola Avançado 4: Projeto avançado de estudos,Programa,21 dias,3,3,3,4
Escola,Avançado,Escola Avançado 5: Projeto avançado de estudos,Programa,21 dias,3,3,3,5
Escola,Avançado,Escola Avançado 6: Projeto avançado de estudos,Programa,21 dias,3,3,3,6
Escola,Avançado,Escola Avançado 7: Projeto avançado de estudos,Programa,21 dias,3,3,3,7
Escola,Avançado,Escola Avançado 8: Projeto avançado de estudos,Programa,21 dias,3,3,3,8
Escola,Avançado,Escola Avançado 9: Projeto avançado de estudos,Programa,21 dias,3,3,3,9
Escola,Avançado,Escola Avançado 10: Projeto avançado de estudos,Programa,21 dias,3,3,3,10
Escola,Avançado,Escola Avançado 11: Projeto avançado de estudos,Programa,21 dias,3,3,3,11
Escola,Avançado,Escola Avançado 12: Projeto avançado de estudos,Programa,21 dias,3,3,3,12
Escola,Avançado,Escola Avançado 13: Projeto avançado de estudos,Programa,21 dias,3,3,3,13
Escola,Avançado,Escola Avançado 14: Projeto avançado de estudos,Programa,21 dias,3,3,3,14
Escola,Avançado,Escola Avançado 15: Projeto avançado de estudos,Programa,21 dias,3,3,3,15
Escola,Avançado,Escola Avançado 16: Projeto avançado de estudos,Programa,21 dias,3,3,3,16
Escola,Avançado,Escola Avançado 17: Projeto avançado de estudos,Programa,21 dias,3,3,3,17
Escola,Avançado,Escola Avançado 18: Projeto avançado de estudos,Programa,21 dias,3,3,3,18
Escola,Avançado,Escola Avançado 19: Projeto avançado de estudos,Programa,21 dias,3,3,3,19
Escola,Avançado,Escola Avançado 20: Projeto avançado de estudos,Programa,21 dias,3,3,3,20
Amigos,Básico,Amigos Básico 1: Atividade básica com amigos,Diário,21 dias,1,4,1,1
Amigos,Básico,Amigos Básico 2: Atividade básica com amigos,Diário,21 dias,1,4,1,2
Amigos,Básico,Amigos Básico 3: Atividade básica com amigos,Diário,21 dias,1,4,1,3
Amigos,Básico,Amigos Básico 4: Atividade básica com amigos,Diário,21 dias,1,4,1,4
Amigos,Básico,Amigos Básico 5: Atividade básica com amigos,Diário,21 dias,1,4,1,5
Amigos,Básico,Amigos Básico 6: Atividade básica com amigos,Diário,21 dias,1,4,1,6
Amigos,Básico,Amigos Básico 7: Atividade básica com amigos,Diário,21 dias,1,4,1,7
Amigos,Básico,Amigos Básico 8: Atividade básica com amigos,Diário,21 dias,1,4,1,8
Amigos,Básico,Amigos Básico 9: Atividade básica com amigos,Diário,21 dias,1,4,1,9
Amigos,Básico,Amigos Básico 10: Atividade básica com amigos,Diário,21 dias,1,4,1,10
Amigos,Básico,Amigos Básico 11: Atividade básica com amigos,Diário,21 dias,1,4,1,11
Amigos,Básico,Amigos Básico 12: Atividade básica com amigos,Diário,21 dias,1,4,1,12
Amigos,Básico,Amigos Básico 13: Atividade básica com amigos,Diário,21 dias,1,4,1,13
Amigos,Básico,Amigos Básico 14: Atividade básica com amigos,Diário,21 dias,1,4,1,14
Amigos,Básico,Amigos Básico 15: Atividade básica com amigos,Diário,21 dias,1,4,1,15
Amigos,Básico,Amigos Básico 16: Atividade básica com amigos,Diário,21 dias,1,4,1,16
Amigos,Básico,Amigos Básico 17: Atividade básica com amigos,Diário,21 dias,1,4,1,17
Amigos,Básico,Amigos Básico 18: Atividade básica com amigos,Diário,21 dias,1,4,1,18
Amigos,Básico,Amigos Básico 19: Atividade básica com amigos,Diário,21 dias,1,4,1,19
Amigos,Básico,Amigos Básico 20: Atividade básica com amigos,Diário,21 dias,1,4,1,20
Amigos,Desafio,Amigos Desafio 1: Desafio de amizade,Semanal,2 semanas,2,4,2,1
Amigos,Desafio,Amigos Desafio 2: Desafio de amizade,Semanal,2 semanas,2,4,2,2
Amigos,Desafio,Amigos Desafio 3: Desafio de amizade,Semanal,2 semanas,2,4,2,3
Amigos,Desafio,Amigos Desafio 4: Desafio de amizade,Semanal,2 semanas,2,4,2,4
Amigos,Desafio,Amigos Desafio 5: Desafio de amizade,Semanal,2 semanas,2,4,2,5
Amigos,Desafio,Amigos Desafio 6: Desafio de amizade,Semanal,2 semanas,2,4,2,6
Amigos,Desafio,Amigos Desafio 7: Desafio de amizade,Semanal,2 semanas,2,4,2,7
Amigos,Desafio,Amigos Desafio 8: Desafio de amizade,Semanal,2 semanas,2,4,2,8
Amigos,Desafio,Amigos Desafio 9: Desafio de amizade,Semanal,2 semanas,2,4,2,9
Amigos,Desafio,Amigos Desafio 10: Desafio de amizade,Semanal,2 semanas,2,4,2,10
Amigos,Desafio,Amigos Desafio 11: Desafio de amizade,Semanal,2 semanas,2,4,2,11
Amigos,Desafio,Amigos Desafio 12: Desafio de amizade,Semanal,2 semanas,2,4,2,12
Amigos,Desafio,Amigos Desafio 13: Desafio de amizade,Semanal,2 semanas,2,4,2,13
Amigos,Desafio,Amigos Desafio 14: Desafio de amizade,Semanal,2 semanas,2,4,2,14
Amigos,Desafio,Amigos Desafio 15: Desafio de amizade,Semanal,2 semanas,2,4,2,15
Amigos,Desafio,Amigos Desafio 16: Desafio de amizade,Semanal,2 semanas,2,4,2,16
Amigos,Desafio,Amigos Desafio 17: Desafio de amizade,Semanal,2 semanas,2,4,2,17
Amigos,Desafio,Amigos Desafio 18: Desafio de amizade,Semanal,2 semanas,2,4,2,18
Amigos,Desafio,Amigos Desafio 19: Desafio de amizade,Semanal,2 semanas,2,4,2,19
Amigos,Desafio,Amigos Desafio 20: Desafio de amizade,Semanal,2 semanas,2,4,2,20
Amigos,Avançado,Amigos Avançado 1: Projeto avançado com amigos,Programa,21 dias,3,4,3,1
Amigos,Avançado,Amigos Avançado 2: Projeto avançado com amigos,Programa,21 dias,3,4,3,2
Amigos,Avançado,Amigos Avançado 3: Projeto avançado com amigos,Programa,21 dias,3,4,3,3
Amigos,Avançado,Amigos Avançado 4: Projeto avançado com amigos,Programa,21 dias,3,4,3,4
Amigos,Avançado,Amigos Avançado 5: Projeto avançado com amigos,Programa,21 dias,3,4,3,5
Amigos,Avançado,Amigos Avançado 6: Projeto avançado com amigos,Programa,21 dias,3,4,3,6
Amigos,Avançado,Amigos Avançado 7: Projeto avançado com amigos,Programa,21 dias,3,4,3,7
Amigos,Avançado,Amigos Avançado 8: Projeto avançado com amigos,Programa,21 dias,3,4,3,8
Amigos,Avançado,Amigos Avançado 9: Projeto avançado com amigos,Programa,21 dias,3,4,3,9
Amigos,Avançado,Amigos Avançado 10: Projeto avançado com amigos,Programa,21 dias,3,4,3,10
Amigos,Avançado,Amigos Avançado 11: Projeto avançado com amigos,Programa,21 dias,3,4,3,11
Amigos,Avançado,Amigos Avançado 12: Projeto avançado com amigos,Programa,21 dias,3,4,3,12
Amigos,Avançado,Amigos Avançado 13: Projeto avançado com amigos,Programa,21 dias,3,4,3,13
Amigos,Avançado,Amigos Avançado 14: Projeto avançado com amigos,Programa,21 dias,3,4,3,14
Amigos,Avançado,Amigos Avançado 15: Projeto avançado com amigos,Programa,21 dias,3,4,3,15
Amigos,Avançado,Amigos Avançado 16: Projeto avançado com amigos,Programa,21 dias,3,4,3,16
Amigos,Avançado,Amigos Avançado 17: Projeto avançado com amigos,Programa,21 dias,3,4,3,17
Amigos,Avançado,Amigos Avançado 18: Projeto avançado com amigos,Programa,21 dias,3,4,3,18
Amigos,Avançado,Amigos Avançado 19: Projeto avançado com amigos,Programa,21 dias,3,4,3,19
Amigos,Avançado,Amigos Avançado 20: Projeto avançado com amigos,Programa,21 dias,3,4,3,20
Comunidade,Básico,Comunidade Básico 1: Ação simples na comunidade,Diário,21 dias,1,5,1,1
Comunidade,Básico,Comunidade Básico 2: Ação simples na comunidade,Diário,21 dias,1,5,1,2
Comunidade,Básico,Comunidade Básico 3: Ação simples na comunidade,Diário,21 dias,1,5,1,3
Comunidade,Básico,Comunidade Básico 4: Ação simples na comunidade,Diário,21 dias,1,5,1,4
Comunidade,Básico,Comunidade Básico 5: Ação simples na comunidade,Diário,21 dias,1,5,1,5
Comunidade,Básico,Comunidade Básico 6: Ação simples na comunidade,Diário,21 dias,1,5,1,6
Comunidade,Básico,Comunidade Básico 7: Ação simples na comunidade,Diário,21 dias,1,5,1,7
Comunidade,Básico,Comunidade Básico 8: Ação simples na comunidade,Diário,21 dias,1,5,1,8
Comunidade,Básico,Comunidade Básico 9: Ação simples na comunidade,Diário,21 dias,1,5,1,9
Comunidade,Básico,Comunidade Básico 10: Ação simples na comunidade,Diário,21 dias,1,5,1,10
Comunidade,Básico,Comunidade Básico 11: Ação simples na comunidade,Diário,21 dias,1,5,1,11
Comunidade,Básico,Comunidade Básico 12: Ação simples na comunidade,Diário,21 dias,1,5,1,12
Comunidade,Básico,Comunidade Básico 13: Ação simples na comunidade,Diário,21 dias,1,5,1,13
Comunidade,Básico,Comunidade Básico 14: Ação simples na comunidade,Diário,21 dias,1,5,1,14
Comunidade,Básico,Comunidade Básico 15: Ação simples na comunidade,Diário,21 dias,1,5,1,15
Comunidade,Básico,Comunidade Básico 16: Ação simples na comunidade,Diário,21 dias,1,5,1,16
Comunidade,Básico,Comunidade Básico 17: Ação simples na comunidade,Diário,21 dias,1,5,1,17
Comunidade,Básico,Comunidade Básico 18: Ação simples na comunidade,Diário,21 dias,1,5,1,18
Comunidade,Básico,Comunidade Básico 19: Ação simples na comunidade,Diário,21 dias,1,5,1,19
Comunidade,Básico,Comunidade Básico 20: Ação simples na comunidade,Diário,21 dias,1,5,1,20
Comunidade,Desafio,Comunidade Desafio 1: Desafio comunitário,Semanal,2 semanas,2,5,2,1
Comunidade,Desafio,Comunidade Desafio 2: Desafio comunitário,Semanal,2 semanas,2,5,2,2
Comunidade,Desafio,Comunidade Desafio 3: Desafio comunitário,Semanal,2 semanas,2,5,2,3
Comunidade,Desafio,Comunidade Desafio 4: Desafio comunitário,Semanal,2 semanas,2,5,2,4
Comunidade,Desafio,Comunidade Desafio 5: Desafio comunitário,Semanal,2 semanas,2,5,2,5
Comunidade,Desafio,Comunidade Desafio 6: Desafio comunitário,Semanal,2 semanas,2,5,2,6
Comunidade,Desafio,Comunidade Desafio 7: Desafio comunitário,Semanal,2 semanas,2,5,2,7
Comunidade,Desafio,Comunidade Desafio 8: Desafio comunitário,Semanal,2 semanas,2,5,2,8
Comunidade,Desafio,Comunidade Desafio 9: Desafio comunitário,Semanal,2 semanas,2,5,2,9
Comunidade,Desafio,Comunidade Desafio 10: Desafio comunitário,Semanal,2 semanas,2,5,2,10
Comunidade,Desafio,Comunidade Desafio 11: Desafio comunitário,Semanal,2 semanas,2,5,2,11
Comunidade,Desafio,Comunidade Desafio 12: Desafio comunitário,Semanal,2 semanas,2,5,2,12
Comunidade,Desafio,Comunidade Desafio 13: Desafio comunitário,Semanal,2 semanas,2,5,2,13
Comunidade,Desafio,Comunidade Desafio 14: Desafio comunitário,Semanal,2 semanas,2,5,2,14
Comunidade,Desafio,Comunidade Desafio 15: Desafio comunitário,Semanal,2 semanas,2,5,2,15
Comunidade,Desafio,Comunidade Desafio 16: Desafio comunitário,Semanal,2 semanas,2,5,2,16
Comunidade,Desafio,Comunidade Desafio 17: Desafio comunitário,Semanal,2 semanas,2,5,2,17
Comunidade,Desafio,Comunidade Desafio 18: Desafio comunitário,Semanal,2 semanas,2,5,2,18
Comunidade,Desafio,Comunidade Desafio 19: Desafio comunitário,Semanal,2 semanas,2,5,2,19
Comunidade,Desafio,Comunidade Desafio 20: Desafio comunitário,Semanal,2 semanas,2,5,2,20
Comunidade,Avançado,Comunidade Avançado 1: Projeto comunitário avançado,Programa,21 dias,3,5,3,1
Comunidade,Avançado,Comunidade Avançado 2: Projeto comunitário avançado,Programa,21 dias,3,5,3,2
Comunidade,Avançado,Comunidade Avançado 3: Projeto comunitário avançado,Programa,21 dias,3,5,3,3
Comunidade,Avançado,Comunidade Avançado 4: Projeto comunitário avançado,Programa,21 dias,3,5,3,4
Comunidade,Avançado,Comunidade Avançado 5: Projeto comunitário avançado,Programa,21 dias,3,5,3,5
Comunidade,Avançado,Comunidade Avançado 6: Projeto comunitário avançado,Programa,21 dias,3,5,3,6
Comunidade,Avançado,Comunidade Avançado 7: Projeto comunitário avançado,Programa,21 dias,3,5,3,7
Comunidade,Avançado,Comunidade Avançado 8: Projeto comunitário avançado,Programa,21 dias,3,5,3,8
Comunidade,Avançado,Comunidade Avançado 9: Projeto comunitário avançado,Programa,21 dias,3,5,3,9
